Accident_ID,Date,Time,Severity,Weather_Condition,Road_Type,Visibility,Temperature_C,Traffic_Density,Speed_Limit,Traffic_Signal,Lighting_Condition,Vehicle_Count,Driver_Age,Alcohol_Involved,County,Road_Name,Police_Response_Time
1,2024-01-01,00:00:00,Minor,Fog,Intersection,2.9862039954911066,21.90811976835592,57.19958782835928,70,Yes,Dusk,4,39,No,Eldoret,Meru-Maua Road,55
2,2024-01-01,01:00:00,Severe,Snow,Urban,2.846298591183998,26.867255887654892,80.54323292999864,70,No,Night,1,79,No,Eldoret,Thika Superhighway,42
3,2024-01-01,02:00:00,Moderate,Rain,Urban,9.109418514949848,5.01871595169996,76.01609297901591,90,Yes,Daylight,1,34,Yes,Nakuru,Nyeri-Nanyuki Road,25
4,2024-01-01,03:00:00,Minor,Snow,Intersection,2.870688898570308,19.994963984279956,15.389990469377368,70,No,Night,8,79,No,Nyeri,Uhuru Highway,12
5,2024-01-01,04:00:00,Minor,Snow,Highway,3.0835223982219944,17.869839325749947,14.92494697414739,120,Yes,Night,2,31,No,Kakamega,Kangundo Road,29
6,2024-01-01,05:00:00,Minor,Fog,Highway,7.714283492970655,28.31321507153084,26.817436774491334,70,Yes,Daylight,1,58,No,Thika,Mombasa-Malindi Highway,32
7,2024-01-01,06:00:00,Minor,Snow,Urban,4.77252850328013,31.24348241925042,36.10747263410372,120,No,Night,8,79,No,Mombasa,Mombasa Road,32
8,2024-01-01,07:00:00,Moderate,Fog,Highway,7.878750291074222,-4.513729140904528,40.84555814084826,70,No,Daylight,4,52,No,Nakuru,Nakuru-Eldoret Highway,58
9,2024-01-01,08:00:00,Moderate,Clear,Intersection,1.1209784968616598,21.960796762351706,67.96972168333453,120,No,Dusk,3,75,No,Nyeri,Mombasa-Malindi Highway,35
10,2024-01-01,09:00:00,Moderate,Clear,Highway,5.131926339897151,-2.926568035210839,5.66804321658354,70,No,Daylight,4,30,No,Meru,Jogoo Road,56
11,2024-01-01,10:00:00,Minor,Fog,Urban,0.8193292017411851,16.954346603094237,3.4672704226066386,70,No,Daylight,5,52,No,Meru,Kangundo Road,40
12,2024-01-01,11:00:00,Severe,Clear,Intersection,1.095205432825868,6.505309161747128,39.191056294390904,50,Yes,Dusk,1,60,No,Kisumu,Mombasa Road,29
13,2024-01-01,12:00:00,Moderate,Rain,Highway,9.111155806771905,7.271063980885648,69.71636921379805,120,No,Daylight,1,19,No,Nairobi,Nyeri-Nanyuki Road,56
